code,plot,year,species,#adults,#saplings,#seedlings
497,OM2,2010,Rosmarinus officinalis,1,0,0
501,OM3,2010,Cistus libanotis,18,2,16
502,OM3,2010,Halimium commutatum,10,0,3
503,OM3,2010,Halimium halimifolium,18,2,7
506,OM3,2010,Lavandula stoechas,16,1,0
507,OM3,2010,Rosmarinus officinalis,8,2,4
511,OM4,2010,Cistus libanotis,31,8,33
512,OM4,2010,Halimium commutatum,4,2,4
513,OM4,2010,Halimium halimifolium,9,0,1
516,OM4,2010,Lavandula stoechas,5,0,0
517,OM4,2010,Rosmarinus officinalis,14,5,14
521,OM5,2010,Cistus libanotis,17,0,0
522,OM5,2010,Halimium commutatum,16,1,0
523,OM5,2010,Halimium halimifolium,3,0,1
526,OM5,2010,Lavandula stoechas,15,1,0
527,OM5,2010,Rosmarinus officinalis,17,0,2
531,OM6,2010,Cistus libanotis,10,0,0
532,OM6,2010,Halimium commutatum,11,0,0
533,OM6,2010,Halimium halimifolium,8,0,3
536,OM6,2010,Lavandula stoechas,19,1,0
537,OM6,2010,Rosmarinus officinalis,6,0,1
541,CM1,2013,Cistus libanotis,13,1,23
542,CM1,2013,Halimium commutatum,5, ,1
543,CM1,2013,Halimium halimifolium,6,0,14
546,CM1,2013,Lavandula stoechas,21,0,64
547,CM1,2013,Rosmarinus officinalis,8,1,0
551,CM2,2013,Cistus libanotis,6,0,16
552,CM2,2013,Halimium commutatum,6,0,0
553,CM2,2013,Halimium halimifolium,16,0,21
556,CM2,2013,Lavandula stoechas,2,0,24
557,CM2,2013,Rosmarinus officinalis,5,4,1
561,CM3,2013,Cistus libanotis,12,0,111
562,CM3,2013,Halimium commutatum,4,1,16
563,CM3,2013,Halimium halimifolium,16,0,259
566,CM3,2013,Lavandula stoechas,4,0,64
567,CM3,2013,Rosmarinus officinalis,16,1,21
571,CM4,2013,Cistus libanotis,0,0,6
572,CM4,2013,Halimium commutatum,4,0,11
573,CM4,2013,Halimium halimifolium,2,1,41
576,CM4,2013,Lavandula stoechas,5,0,5
577,CM4,2013,Rosmarinus officinalis,2,0,0
581,CM5,2013,Cistus libanotis,10,1,49
582,CM5,2013,Halimium commutatum,0,0,3
